10000[16]00000000[01]008010000002048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[04]4c[17]
60 [16]00000000[01]003000001[04]39[17]
20 [16]00000000[01]0040100000[02]Girls 200m Medley                    [04]8C[17]
90 [16]00000000[01]0040101100[02]   12.4 [04]B3[17]
110 [16]00000000[01]0040101100[02]   12.5 [04]B4[17]
90 [16]00000000[01]0040101100[02]   12.6 [04]B5[17]
110 [16]00000000[01]0040101100[02]   12.7 [04]B6[17]
110 [16]00000000[01]0040101100[02]   12.8 [04]B7[17]
80 [16]00000000[01]0040101100[02]   12.9 [04]B8[17]
110 [16]00000000[01]0040101100[02]   13.0 [04]B0[17]
80 [16]00000000[01]0040101100[02]   13.1 [04]B1[17]
130 [16]00000000[01]0040101100[02]   13.2 [04]B2[17]
90 [16]00000000[01]0040101100[02]   13.3 [04]B3[17]
130 [16]00000000[01]0040101100[02]   13.4 [04]B4[17]
80 [16]00000000[01]0040101100[02]   13.5 [04]B5[17]
80 [16]00000000[01]0040101100[02]   13.6 [04]B6[17]
110 [16]00000000[01]0040101100[02]   13.7 [04]B7[17]
110 [16]00000000[01]0040101100[02]   13.8 [04]B8[17]
100 [16]00000000[01]0040101100[02]   13.9 [04]B9[17]
110 [16]00000000[01]0040101100[02]   14.0 [04]B1[17]
80 [16]00000000[01]0040101100[02]   14.1 [04]B2[17]
110 [16]00000000[01]0040101100[02]   14.2 [04]B3[17]
90 [16]00000000[01]0040101100[02]   14.3 [04]B4[17]
110 [16]00000000[01]0040101100[02]   14.4 [04]B5[17]
90 [16]00000000[01]0040101100[02]   14.5 [04]B6[17]
90 [16]00000000[01]0040101100[02]   14.6 [04]B7[17]
110 [16]00000000[01]0040101100[02]   14.7 [04]B8[17]
90 [16]00000000[01]0040101100[02]   14.8 [04]B9[17]
90 [16]00000000[01]0040101100[02]   14.9 [04]BA[17]
110 [16]00000000[01]0040101100[02]   15.0 [04]B2[17]
90 [16]00000000[01]0040101100[02]   15.1 [04]B3[17]
110 [16]00000000[01]0040101100[02]   15.2 [04]B4[17]
110 [16]00000000[01]0040101100[02]   15.3 [04]B5[17]
90 [16]00000000[01]0040101100[02]   15.4 [04]B6[17]
90 [16]00000000[01]0040101100[02]   15.5 [04]B7[17]
80 [16]00000000[01]0040101100[02]   15.6 [04]B8[17]
130 [16]00000000[01]0040101100[02]   15.7 [04]B9[17]
110 [16]00000000[01]0040101100[02]   15.8 [04]BA[17]
110 [16]00000000[01]0040101100[02]   15.9 [04]BB[17]
